method,sparsity_deg,n,LSD_avg_mean,LSD_avg_std,ITD_MAE_mean,ITD_MAE_std,ILD_MAE_mean,ILD_MAE_std
NN,10,11,5.253269497783138,0.2367501594158683,0.04604398672646956,0.01659987849357779,1.223893383637356,0.18379284184923703
RBF,10,11,4.170390070050865,0.19463343695316215,0.02737694319503717,0.019210197758535722,0.9592679784425836,0.17238396115022409
NN,15,11,5.400118919771817,0.23066778101023672,0.05895338337542136,0.021222243602466197,1.3162731878402174,0.19411262664916806
RBF,15,11,4.328146709497323,0.17818362642424326,0.02839532716686817,0.02022631497890847,1.0183710213233375,0.14568543006952886
NN,30,11,5.800204929776826,0.20269787662338679,0.08446617118692187,0.015557502484689739,1.583993744098276,0.22843755231439336
RBF,30,11,4.7097642938568125,0.17641567899909188,0.03229182958702059,0.02230711037981511,1.2119610262685023,0.20501768479914445
